id_dim_date,state_cd,station_id,sum_veh_count,functional_class,latitude,longitude,state,AVG_temp,AVG_rain,AVG_daylight,AVG_snowfall,day,month,year
29,30,0W-204,2707,3R,45.428609,-105.405028,MT,19.1,2.4499999999999997,43503.246666666666,0.0,24,9,2022
26,12,979933,110144,2U,26.17933,-80.30672,FL,7.516666666666667,1.5666666666666667,41515.49999999999,0.16333333333333333,8,3,2022
29,12,979933,89063,2U,26.17933,-80.30672,FL,19.1,2.4499999999999997,43503.246666666666,0.0,24,9,2022
26,53,P22AAA,1172,3R,48.987198,-119.455967,WA,7.516666666666667,1.5666666666666667,41515.49999999999,0.16333333333333333,8,3,2022
26,53,P05AAA,1458,3R,46.438974,-117.951628,WA,7.516666666666667,1.5666666666666667,41515.49999999999,0.16333333333333333,8,3,2022
29,53,P6AAAA,143210,2U,47.43086,-122.221,WA,19.1,2.4499999999999997,43503.246666666666,0.0,24,9,2022
26,53,P6AAAA,128804,2U,47.43086,-122.221,WA,7.516666666666667,1.5666666666666667,41515.49999999999,0.16333333333333333,8,3,2022
29,53,P05AAA,2351,3R,46.438974,-117.951628,WA,19.1,2.4499999999999997,43503.246666666666,0.0,24,9,2022
65,53,P05AAA,1719,3R,46.438974,-117.951628,WA,13.433333333333335,2.9000000000000004,51315.26,0.0,2,5,2022
65,53,P22AAA,1393,3R,48.987198,-119.455967,WA,13.433333333333335,2.9000000000000004,51315.26,0.0,2,5,2022
65,12,979933,106192,2U,26.17933,-80.30672,FL,13.433333333333335,2.9000000000000004,51315.26,0.0,2,5,2022
191,53,P05AAA,1682,3R,46.438974,-117.951628,WA,0.4333333333333338,0.21666666666666667,31925.866666666665,0.16333333333333333,16,12,2022
191,12,979933,123309,2U,26.17933,-80.30672,FL,0.4333333333333338,0.21666666666666667,31925.866666666665,0.16333333333333333,16,12,2022
293,53,P09AAA,18646,1R,46.047791,-119.224519,WA,1.9833333333333334,0.10000000000000002,32330.48833333333,0.0,7,12,2022
222,53,P22AAA,1138,3R,48.987198,-119.455967,WA,-10.5,0.03333333333333333,31855.01833333333,0.0,22,12,2022
293,53,P05AAA,1350,3R,46.438974,-117.951628,WA,1.9833333333333334,0.10000000000000002,32330.48833333333,0.0,7,12,2022
222,53,P6AAAA,128248,2U,47.43086,-122.221,WA,-10.5,0.03333333333333333,31855.01833333333,0.0,22,12,2022
243,12,979933,55911,2U,26.17933,-80.30672,FL,-6.416666666666667,0.016666666666666666,32127.734999999997,0.0,1,1,2022
278,53,P09AAA,20731,1R,46.047791,-119.224519,WA,2.566666666666667,0.016666666666666666,34517.86666666667,0.06999999999999999,16,11,2022
278,53,P22AAA,1241,3R,48.987198,-119.455967,WA,2.566666666666667,0.016666666666666666,34517.86666666667,0.06999999999999999,16,11,2022
278,53,P6AAAA,130523,2U,47.43086,-122.221,WA,2.566666666666667,0.016666666666666666,34517.86666666667,0.06999999999999999,16,11,2022
19,30,0W-204,2282,3R,45.428609,-105.405028,MT,25.516666666666666,1.6333333333333335,49020.245,0.0,24,8,2022
54,12,979933,112929,2U,26.17933,-80.30672,FL,1.55,0.03333333333333333,32398.05666666667,0.0,6,12,2022
296,30,0W-204,2534,3R,45.428609,-105.405028,MT,13.383333333333333,1.2833333333333332,47216.75333333333,0.0,8,4,2022
296,53,P05AAA,2322,3R,46.438974,-117.951628,WA,13.383333333333333,1.2833333333333332,47216.75333333333,0.0,8,4,2022
19,53,P6AAAA,138763,2U,47.43086,-122.221,WA,25.516666666666666,1.6333333333333335,49020.245,0.0,24,8,2022
19,53,P05AAA,2071,3R,46.438974,-117.951628,WA,25.516666666666666,1.6333333333333335,49020.245,0.0,24,8,2022
296,53,P6AAAA,136070,2U,47.43086,-122.221,WA,13.383333333333333,1.2833333333333332,47216.75333333333,0.0,8,4,2022
54,53,P6AAAA,126521,2U,47.43086,-122.221,WA,1.55,0.03333333333333333,32398.05666666667,0.0,6,12,2022
296,12,979933,119676,2U,26.17933,-80.30672,FL,13.383333333333333,1.2833333333333332,47216.75333333333,0.0,8,4,2022
0,12,979933,111638,2U,26.17933,-80.30672,FL,14.75,1.6833333333333333,51622.97666666668,0.0,4,5,2022
0,30,0W-204,2776,3R,45.428609,-105.405028,MT,14.75,1.6833333333333333,51622.97666666668,0.0,4,5,2022
348,53,P6AAAA,138004,2U,47.43086,-122.221,WA,25.98333333333333,0.4166666666666667,52374.630000000005,0.0,3,8,2022
277,12,979933,91504,2U,26.17933,-80.30672,FL,19.466666666666665,1.9833333333333332,42588.79,0.0,29,9,2022
277,53,P22AAA,1465,3R,48.987198,-119.455967,WA,19.466666666666665,1.9833333333333332,42588.79,0.0,29,9,2022
287,53,P22AAA,1111,3R,48.987198,-119.455967,WA,10.266666666666667,0.85,44107.565,0.0,22,3,2022
0,53,P6AAAA,138188,2U,47.43086,-122.221,WA,14.75,1.6833333333333333,51622.97666666668,0.0,4,5,2022
0,53,P22AAA,1396,3R,48.987198,-119.455967,WA,14.75,1.6833333333333333,51622.97666666668,0.0,4,5,2022
348,53,P22AAA,1726,3R,48.987198,-119.455967,WA,25.98333333333333,0.4166666666666667,52374.630000000005,0.0,3,8,2022
348,53,P09AAA,25007,1R,46.047791,-119.224519,WA,25.98333333333333,0.4166666666666667,52374.630000000005,0.0,3,8,2022
155,53,P22AAA,882,3R,48.987198,-119.455967,WA,1.8333333333333337,4.283333333333333,34004.026666666665,0.011666666666666667,20,11,2022
167,30,0W-204,2446,3R,45.428609,-105.405028,MT,10.216666666666667,0.4666666666666666,45754.50666666666,0.0,31,3,2022
113,53,P6AAAA,139818,2U,47.43086,-122.221,WA,26.316666666666666,0.13333333333333333,51170.12833333333,0.0,11,8,2022
113,12,979933,106244,2U,26.17933,-80.30672,FL,26.316666666666666,0.13333333333333333,51170.12833333333,0.0,11,8,2022
155,53,P6AAAA,101403,2U,47.43086,-122.221,WA,1.8333333333333337,4.283333333333333,34004.026666666665,0.011666666666666667,20,11,2022
155,53,P05AAA,1380,3R,46.438974,-117.951628,WA,1.8333333333333337,4.283333333333333,34004.026666666665,0.011666666666666667,20,11,2022
155,12,979933,66728,2U,26.17933,-80.30672,FL,1.8333333333333337,4.283333333333333,34004.026666666665,0.011666666666666667,20,11,2022
167,53,P05AAA,1948,3R,46.438974,-117.951628,WA,10.216666666666667,0.4666666666666666,45754.50666666666,0.0,31,3,2022
113,53,P05AAA,2336,3R,46.438974,-117.951628,WA,26.316666666666666,0.13333333333333333,51170.12833333333,0.0,11,8,2022
299,12,979933,102663,2U,26.17933,-80.30672,FL,17.150000000000002,5.816666666666666,55442.23500000001,0.0,6,6,2022
113,53,P09AAA,26933,1R,46.047791,-119.224519,WA,26.316666666666666,0.13333333333333333,51170.12833333333,0.0,11,8,2022
112,53,P6AAAA,120832,2U,47.43086,-122.221,WA,8.783333333333333,2.6166666666666667,38451.145,0.04666666666666667,19,2,2022
299,53,P6AAAA,130561,2U,47.43086,-122.221,WA,17.150000000000002,5.816666666666666,55442.23500000001,0.0,6,6,2022
112,53,P09AAA,19749,1R,46.047791,-119.224519,WA,8.783333333333333,2.6166666666666667,38451.145,0.04666666666666667,19,2,2022
112,53,P22AAA,787,3R,48.987198,-119.455967,WA,8.783333333333333,2.6166666666666667,38451.145,0.04666666666666667,19,2,2022
347,53,P6AAAA,111742,2U,47.43086,-122.221,WA,14.266666666666666,0.26666666666666666,54090.03166666667,0.0,22,5,2022
347,12,979933,70638,2U,26.17933,-80.30672,FL,14.266666666666666,0.26666666666666666,54090.03166666667,0.0,22,5,2022
237,53,P09AAA,24018,1R,46.047791,-119.224519,WA,16.433333333333334,1.3,40068.094999999994,0.0,13,10,2022
237,53,P6AAAA,133191,2U,47.43086,-122.221,WA,16.433333333333334,1.3,40068.094999999994,0.0,13,10,2022
347,53,P22AAA,1147,3R,48.987198,-119.455967,WA,14.266666666666666,0.26666666666666666,54090.03166666667,0.0,22,5,2022
237,53,P05AAA,2087,3R,46.438974,-117.951628,WA,16.433333333333334,1.3,40068.094999999994,0.0,13,10,2022
241,53,P05AAA,2388,3R,46.438974,-117.951628,WA,23.600000000000005,0.8833333333333333,55142.44666666666,0.0,10,7,2022
237,12,979933,109638,2U,26.17933,-80.30672,FL,16.433333333333334,1.3,40068.094999999994,0.0,13,10,2022
347,53,P05AAA,2270,3R,46.438974,-117.951628,WA,14.266666666666666,0.26666666666666666,54090.03166666667,0.0,22,5,2022
237,53,P22AAA,1458,3R,48.987198,-119.455967,WA,16.433333333333334,1.3,40068.094999999994,0.0,13,10,2022
330,30,0W-204,2515,3R,45.428609,-105.405028,MT,10.533333333333333,3.133333333333333,49495.901666666665,0.0,21,4,2022
198,53,P09AAA,20117,1R,46.047791,-119.224519,WA,-3.7833333333333337,0.03333333333333333,39165.901666666665,0.0,23,2,2022
198,30,0W-204,1848,3R,45.428609,-105.405028,MT,-3.7833333333333337,0.03333333333333333,39165.901666666665,0.0,23,2,2022
330,12,979933,116120,2U,26.17933,-80.30672,FL,10.533333333333333,3.133333333333333,49495.901666666665,0.0,21,4,2022
22,12,979933,105907,2U,26.17933,-80.30672,FL,12.049999999999999,5.033333333333333,40249.355,0.0,1,3,2022
198,53,P22AAA,1060,3R,48.987198,-119.455967,WA,-3.7833333333333337,0.03333333333333333,39165.901666666665,0.0,23,2,2022
330,53,P05AAA,1935,3R,46.438974,-117.951628,WA,10.533333333333333,3.133333333333333,49495.901666666665,0.0,21,4,2022
22,53,P6AAAA,129395,2U,47.43086,-122.221,WA,12.049999999999999,5.033333333333333,40249.355,0.0,1,3,2022
330,53,P22AAA,1367,3R,48.987198,-119.455967,WA,10.533333333333333,3.133333333333333,49495.901666666665,0.0,21,4,2022
130,53,P6AAAA,132225,2U,47.43086,-122.221,WA,24.900000000000002,0.4666666666666666,55806.121666666666,0.0,28,6,2022
130,53,P22AAA,1580,3R,48.987198,-119.455967,WA,24.900000000000002,0.4666666666666666,55806.121666666666,0.0,28,6,2022
196,53,P22AAA,1101,3R,48.987198,-119.455967,WA,4.750000000000001,0.43333333333333335,31983.84833333333,0.07,29,12,2022
196,53,P05AAA,1626,3R,46.438974,-117.951628,WA,4.750000000000001,0.43333333333333335,31983.84833333333,0.07,29,12,2022
130,53,P09AAA,23536,1R,46.047791,-119.224519,WA,24.900000000000002,0.4666666666666666,55806.121666666666,0.0,28,6,2022
130,12,979933,101590,2U,26.17933,-80.30672,FL,24.900000000000002,0.4666666666666666,55806.121666666666,0.0,28,6,2022
7,53,P22AAA,1566,3R,48.987198,-119.455967,WA,11.183333333333335,4.083333333333333,50676.28666666666,0.0,28,4,2022
7,12,979933,111379,2U,26.17933,-80.30672,FL,11.183333333333335,4.083333333333333,50676.28666666666,0.0,28,4,2022
77,53,P6AAAA,129031,2U,47.43086,-122.221,WA,17.05,3.5,39711.66333333333,0.0,15,10,2022
